id,content
1,"FACTURA #F-2025-001
TechSolutions México S.A. de C.V.
NIT: 900123456-7
Calle 72 #10-34, Bogotá D.C.

CLIENTE: Cobre Pagos S.A.
NIT: 901234567-8

Fecha: 15 de Septiembre, 2025
Folio: FACT-2025-0891

CONCEPTO                    CANTIDAD    PRECIO    IMPORTE
Licencias de Software         12     $2,500,000   $30,000,000
Soporte Técnico Anual         1      $8,000,000   $8,000,000

                              SUBTOTAL:           $38,000,000
                              IVA (19%):          $7,220,000
                              TOTAL:              $45,220,000

Condiciones de Pago: 30 días
Cuenta: 1234567890 - Banco de Bogotá"
2,"From: billing@cloudservices.com
To: accounts@cobre.com
Subject: Invoice CS-2025-445 - September Cloud Services

Hi Cobre Team,

Invoice for September 2025 cloud infrastructure:
- AWS Infrastructure: $12,500 USD
- Database Management: $3,200 USD  
- Security Monitoring: $1,800 USD
Total: $17,500 USD

Payment due: October 15, 2025
Wire details in attachment.

CloudServices LATAM"
3,"{""invoice_number"": ""2025-INV-1102"", ""date"": ""2025-09-18"", ""vendor"": ""Consultoria Fiscal SA"", ""client"": ""Cobre Pagos SA"", ""items"": [{""description"": ""Auditoría financiera"", ""quantity"": 1, ""rate"": 45000000, ""total"": 45000000}, {""description"": ""Consultoría legal"", ""quantity"": 20, ""rate"": 800000, ""total"": 16000000}], ""subtotal"": 61000000, ""tax"": 11590000, ""total"": 72590000, ""currency"": ""COP""}"
4,"From: facturacion@logistica-express.co
Para: pagos@cobre.com
Asunto: Factura Septiembre - Servicios de Entrega

Estimados,

Servicios de entrega septiembre 2025:
• 450 entregas urbanas @ $25,000 c/u = $11,250,000
• 120 entregas foráneas @ $85,000 c/u = $10,200,000
• Seguro de paquetes: $850,000

Subtotal: $22,300,000 COP
IVA: $4,237,000 COP
Total: $26,537,000 COP

Vencimiento: 15 días
Cuenta Bancolombia: 012345678901234567

Saludos,
Logística Express"
5,"NOTA DE CRÉDITO #NC-2025-055
Proveedor: Equipos Industriales del Norte
NIT: 800456789-2

Cliente: Cobre Pagos S.A.
Fecha: 22/09/2025

CONCEPTO: Devolución de equipos defectuosos
Factura Original: F-2025-778
Monto Original: $125,000,000
Descuento aplicado: $25,000,000
MONTO A ACREDITAR: $100,000,000 COP

Esta nota de crédito debe aplicarse a su cuenta."
6,"{""invoice_number"": ""WS-2025-334"", ""vendor"": ""Web Solutions Inc"", ""date"": ""2025-09-25"", ""items"": [{""service"": ""Website Redesign"", ""hours"": 120, ""rate"": 75, ""total"": 9000}, {""service"": ""SEO Optimization"", ""hours"": 40, ""rate"": 85, ""total"": 3400}], ""currency"": ""USD"", ""total"": 12400, ""due_date"": ""2025-10-25""}"
7,"From: admin@oficinas-premium.co
To: cuentas@cobre.com
Subject: Factura Mensual - Renta de Oficinas

Cobre Pagos S.A.

Renta oficinas Torre Empresarial:
- Piso 15, Oficina A: $28,000,000 COP
- Servicios incluidos: $3,500,000 COP
- Parqueadero (5 lugares): $2,500,000 COP

Total mensual: $34,000,000 COP
Período: Octubre 2025
Vence: 5 de cada mes

Cuenta Davivienda: 0123456789012345"
8,"INVOICE #2025-LG-890
Legal & Associates Law Firm
1234 Corporate Blvd, Miami, FL

Client: Cobre Pagos S.A.
Date: September 28, 2025

Legal Services Rendered:
- Contract Review (15 hours @ $350/hr): $5,250
- Regulatory Compliance (8 hours @ $400/hr): $3,200  
- Court Representation (12 hours @ $500/hr): $6,000

Total Professional Fees: $14,450 USD
Payment Terms: Due upon receipt
Wire Transfer: Chase Bank NY, ABA: 021000021"
9,"{""document_type"": ""factura_electronica"", ""emisor"": {""nombre"": ""Transportes del Valle SA"", ""nit"": ""900345678-9""}, ""receptor"": {""nombre"": ""Cobre Pagos SA"", ""nit"": ""901234567-8""}, ""conceptos"": [{""descripcion"": ""Flete terrestre"", ""cantidad"": 1, ""valor_unitario"": 15500000}, {""descripcion"": ""Maniobras"", ""cantidad"": 3, ""valor_unitario"": 850000}], ""subtotal"": 18050000, ""iva"": 3429500, ""total"": 21479500, ""moneda"": ""COP""}"
10,"From: billing@maintenance-pro.com
To: finance@cobre.com  
Subject: Monthly Maintenance Invoice - Equipment Service

Dear Cobre Team,

September 2025 Maintenance Services:
✓ Server room cleaning: $450
✓ HVAC system service: $1,200
✓ Fire suppression check: $300
✓ Emergency generator test: $800

Subtotal: $2,750 USD
Tax (8.5%): $233.75
Total: $2,983.75 USD

Net 15 terms
Account: Wells Fargo 4567891234567890"
